gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
CTSZ,9.32119E-29,0.317212887,0.222,0.028,3.39142E-24,Prefrontal cortex
RASAL3,1.22723E-28,0.417670125,0.282,0.046,4.46517E-24,Prefrontal cortex
IFI44,1.28138E-28,0.351726472,0.239,0.033,4.66216E-24,Prefrontal cortex
PLA2G15,1.36053E-28,0.325476274,0.205,0.025,4.95014E-24,Prefrontal cortex
MLXIPL,1.74571E-28,0.508401345,0.35,0.069,6.3516E-24,Prefrontal cortex
HSPB1,2.45569E-28,0.33593123,0.171,0.017,8.93477E-24,Prefrontal cortex
SLC2A5,3.06314E-28,0.653780995,0.632,0.201,1.11449E-23,Prefrontal cortex
RPL35,3.48638E-28,0.461973101,0.308,0.054,1.26848E-23,Prefrontal cortex
TMEM144,4.83859E-28,-0.655417494,0.547,0.863,1.76047E-23,Hippocampus
CSF1R,5.03757E-28,0.694500595,0.769,0.316,1.83287E-23,Prefrontal cortex
REEP4,7.29357E-28,0.209705302,0.128,0.01,2.65369E-23,Prefrontal cortex
MAFB,9.93055E-28,0.28897444,0.145,0.013,3.61313E-23,Prefrontal cortex
C1orf162,1.40698E-27,0.348840938,0.197,0.024,5.11916E-23,Prefrontal cortex
ARHGAP9,1.59229E-27,0.260220599,0.145,0.013,5.79337E-23,Prefrontal cortex
MS4A4A,1.64042E-27,0.245777837,0.162,0.016,5.9685E-23,Prefrontal cortex
ANKS1B,2.92799E-27,-0.672566259,0.504,0.826,1.06532E-22,Hippocampus
RPL36,3.38879E-27,0.317758611,0.205,0.026,1.23298E-22,Prefrontal cortex
CTSS,3.9687E-27,0.429103257,0.325,0.061,1.44397E-22,Prefrontal cortex
ST18,6.42923E-27,-0.444755401,0.786,0.95,2.33921E-22,Hippocampus
GRIK2,6.74296E-27,-1.048956785,0.094,0.62,2.45336E-22,Hippocampus
CCSER1,1.11684E-26,-1.013879081,0.111,0.638,4.06352E-22,Hippocampus
CLEC2B,1.11723E-26,0.216391242,0.12,0.009,4.06494E-22,Prefrontal cortex
MBP,2.39239E-26,-0.360739457,0.855,0.969,8.70449E-22,Hippocampus
LAPTM5,2.44864E-26,0.633890902,0.521,0.15,8.90913E-22,Prefrontal cortex
STXBP5L,2.84006E-26,-1.044876984,0.077,0.602,1.03333E-21,Hippocampus
RPS27,3.23055E-26,0.259042025,0.103,0.006,1.1754E-21,Prefrontal cortex
FOLR2,5.24475E-26,0.2093013,0.12,0.009,1.90825E-21,Prefrontal cortex
RPS27A,5.38038E-26,0.429722935,0.333,0.065,1.9576E-21,Prefrontal cortex
IFI44L,7.84424E-26,0.492415758,0.282,0.051,2.85405E-21,Prefrontal cortex
ABI3,9.24984E-26,0.297846828,0.162,0.017,3.36546E-21,Prefrontal cortex
LRMP,1.52752E-25,0.495435528,0.427,0.102,5.55772E-21,Prefrontal cortex
ANK3,2.94223E-25,-0.468431199,0.752,0.931,1.0705E-20,Hippocampus
DLGAP1,3.83001E-25,-0.998822882,0.085,0.61,1.39351E-20,Hippocampus
GRINA,4.23401E-25,0.293564158,0.222,0.032,1.5405E-20,Prefrontal cortex
ANOS1,4.78029E-25,0.547561246,0.359,0.082,1.73926E-20,Prefrontal cortex
FAM13A,7.73345E-25,0.646134461,0.598,0.21,2.81374E-20,Prefrontal cortex
TMC8,1.08865E-24,0.427614568,0.265,0.047,3.96094E-20,Prefrontal cortex
EHBP1L1,1.48313E-24,0.385615289,0.282,0.051,5.39622E-20,Prefrontal cortex
HOMER1,2.41314E-24,-1.048278725,0.034,0.547,8.77997E-20,Hippocampus
MAZ,2.60272E-24,0.298239638,0.179,0.022,9.46972E-20,Prefrontal cortex
AUP1,2.78855E-24,0.318936759,0.179,0.023,1.01458E-19,Prefrontal cortex
TAPBP,2.80019E-24,0.362703206,0.265,0.046,1.01882E-19,Prefrontal cortex
TGFBR1,3.90403E-24,0.664306216,0.59,0.217,1.42044E-19,Prefrontal cortex
CPED1,4.52986E-24,0.650013832,0.684,0.266,1.64814E-19,Prefrontal cortex
TNFRSF14,4.79253E-24,0.209623977,0.12,0.01,1.74371E-19,Prefrontal cortex
NLGN1,7.81336E-24,-0.565617348,0.615,0.872,2.84281E-19,Hippocampus
TBC1D2B,7.91053E-24,0.425823713,0.368,0.083,2.87817E-19,Prefrontal cortex
ADCY7,8.09487E-24,0.416311533,0.35,0.076,2.94524E-19,Prefrontal cortex
PDE1A,9.25271E-24,-0.840441569,0.282,0.694,3.36651E-19,Hippocampus
NSUN5,9.59994E-24,0.33471006,0.197,0.027,3.49284E-19,Prefrontal cortex
MGAT1,1.0608E-23,0.432671372,0.299,0.06,3.8596E-19,Prefrontal cortex
RPS5,1.19299E-23,0.232863814,0.137,0.013,4.34058E-19,Prefrontal cortex
SCIN,1.30128E-23,0.62627184,0.496,0.151,4.73457E-19,Prefrontal cortex
CD37,2.29273E-23,0.310836902,0.205,0.03,8.34187E-19,Prefrontal cortex
PLD4,3.64299E-23,0.353771166,0.222,0.035,1.32547E-18,Prefrontal cortex
USF2,4.18778E-23,0.376433286,0.248,0.043,1.52368E-18,Prefrontal cortex
TFEC,4.52232E-23,0.524337453,0.427,0.116,1.6454E-18,Prefrontal cortex
ACADVL,5.84106E-23,0.341287661,0.248,0.043,2.12521E-18,Prefrontal cortex
ELOB,5.96613E-23,0.278496368,0.171,0.021,2.17072E-18,Prefrontal cortex
P2RY11,6.62151E-23,0.206288594,0.103,0.008,2.40917E-18,Prefrontal cortex
PIK3CG,6.83105E-23,0.246372081,0.145,0.016,2.48541E-18,Prefrontal cortex
SIK3,8.98278E-23,-0.317680583,0.872,0.941,3.26829E-18,Hippocampus
JUND,9.23971E-23,0.505268973,0.444,0.121,3.36178E-18,Prefrontal cortex
NOTCH2,9.73336E-23,0.376659461,0.265,0.049,3.54139E-18,Prefrontal cortex
SLC44A1,1.1452E-22,-0.381976945,0.795,0.93,4.16669E-18,Hippocampus
NLRC5,1.57396E-22,0.273862666,0.179,0.024,5.72668E-18,Prefrontal cortex
SH3BGRL3,1.79914E-22,0.289511249,0.205,0.031,6.546E-18,Prefrontal cortex
RPS11,1.80686E-22,0.384681503,0.256,0.047,6.57409E-18,Prefrontal cortex
MAP1S,1.93832E-22,0.287361743,0.188,0.026,7.0524E-18,Prefrontal cortex
GPSM3,2.4598E-22,0.215184156,0.128,0.012,8.94974E-18,Prefrontal cortex
ANK2,2.49959E-22,-0.471506195,0.701,0.913,9.09452E-18,Hippocampus
UBALD2,2.70424E-22,0.245941848,0.171,0.022,9.83911E-18,Prefrontal cortex
RNF220,3.04103E-22,-0.419899301,0.778,0.909,1.10645E-17,Hippocampus
RCN3,3.25647E-22,0.262851537,0.128,0.013,1.18484E-17,Prefrontal cortex
ELMO1,4.28508E-22,-0.20607969,0.966,0.98,1.55908E-17,Hippocampus
IL15,4.8638E-22,0.240050832,0.12,0.011,1.76964E-17,Prefrontal cortex
PLCB2,5.40452E-22,0.355138973,0.256,0.047,1.96638E-17,Prefrontal cortex
HLA-C,5.41359E-22,0.37131783,0.248,0.045,1.96968E-17,Prefrontal cortex
RPL27A,5.75615E-22,0.347596646,0.265,0.05,2.09432E-17,Prefrontal cortex
PDE4D,5.91351E-22,-0.784263003,0.291,0.723,2.15157E-17,Hippocampus
NTM,5.92259E-22,-0.689345623,0.444,0.791,2.15487E-17,Hippocampus
RPLP2,7.32179E-22,0.33299779,0.214,0.034,2.66396E-17,Prefrontal cortex
PECAM1,8.76414E-22,0.34140297,0.239,0.043,3.18875E-17,Prefrontal cortex
DENND3,1.07912E-21,0.625903998,0.556,0.201,3.92627E-17,Prefrontal cortex
GRN,1.09871E-21,0.340636852,0.231,0.04,3.99753E-17,Prefrontal cortex
SIRPB2,1.22617E-21,0.277904003,0.188,0.027,4.46128E-17,Prefrontal cortex
ARHGAP27,1.27667E-21,0.349951838,0.265,0.051,4.64505E-17,Prefrontal cortex
PTAFR,1.43118E-21,0.267781132,0.231,0.039,5.20721E-17,Prefrontal cortex
ITGAL,1.78795E-21,0.226239375,0.154,0.018,6.50528E-17,Prefrontal cortex
IRF5,2.02075E-21,0.270660718,0.162,0.021,7.35231E-17,Prefrontal cortex
RPS23,2.02804E-21,0.35332385,0.248,0.046,7.37884E-17,Prefrontal cortex
PTPRC,2.05496E-21,0.594376132,0.795,0.391,7.47676E-17,Prefrontal cortex
IL4R,2.52385E-21,0.373571117,0.291,0.06,9.18277E-17,Prefrontal cortex
KCNK13,3.17716E-21,0.448660914,0.368,0.092,1.15598E-16,Prefrontal cortex
TBC1D8,3.53978E-21,0.431014783,0.308,0.069,1.28791E-16,Prefrontal cortex
NCF4,3.69806E-21,0.256257139,0.145,0.017,1.3455E-16,Prefrontal cortex
ZFP36L2,3.81821E-21,0.526295319,0.47,0.141,1.38922E-16,Prefrontal cortex
PLCL1,5.94552E-21,-0.42357251,0.744,0.908,2.16322E-16,Hippocampus
PFDN5,6.27316E-21,0.347556984,0.239,0.044,2.28243E-16,Prefrontal cortex
PHLPP1,7.41178E-21,-0.492753751,0.641,0.881,2.6967E-16,Hippocampus
OPCML,8.63228E-21,-0.874588965,0.12,0.577,3.14077E-16,Hippocampus
NFATC2,9.09272E-21,0.557282615,0.513,0.173,3.3083E-16,Prefrontal cortex
TYROBP,1.22018E-20,0.402441788,0.316,0.072,4.4395E-16,Prefrontal cortex
RFWD2,1.35262E-20,-0.925489905,0,0.46,4.92139E-16,Hippocampus
HLA-E,1.39196E-20,0.448796356,0.376,0.097,5.06451E-16,Prefrontal cortex
RPL19,1.42211E-20,0.410249206,0.256,0.051,5.17421E-16,Prefrontal cortex
NACA,1.80446E-20,0.342595511,0.214,0.037,6.56536E-16,Prefrontal cortex
ITPR2,1.86782E-20,0.439601415,0.949,0.722,6.79588E-16,Prefrontal cortex
C14orf37,2.04237E-20,-0.919876664,0,0.457,7.43097E-16,Hippocampus
CNTNAP2,2.14505E-20,-0.673310977,0.419,0.793,7.80454E-16,Hippocampus
TMEM51,2.18439E-20,0.32568645,0.231,0.042,7.94769E-16,Prefrontal cortex
BMP2K,2.39085E-20,0.539608514,0.88,0.55,8.69888E-16,Prefrontal cortex
P4HA1,3.13858E-20,0.55474089,0.462,0.147,1.14194E-15,Prefrontal cortex
LRRTM4,3.42169E-20,-0.875073656,0.154,0.597,1.24495E-15,Hippocampus
MNDA,3.4248E-20,0.238718091,0.162,0.022,1.24608E-15,Prefrontal cortex
SORL1,3.64399E-20,0.521034475,0.846,0.534,1.32583E-15,Prefrontal cortex
LEPR,3.69478E-20,0.344657085,0.239,0.045,1.34431E-15,Prefrontal cortex
ETV6,4.0747E-20,0.588392184,0.761,0.387,1.48254E-15,Prefrontal cortex
SYT1,4.49882E-20,-0.748959007,0.299,0.7,1.63685E-15,Hippocampus
RPS3,4.74688E-20,0.405011094,0.299,0.068,1.72711E-15,Prefrontal cortex
FCGR1A,5.16627E-20,0.386992568,0.274,0.058,1.8797E-15,Prefrontal cortex
LENG8,5.78701E-20,0.519324017,0.53,0.177,2.10554E-15,Prefrontal cortex
BHLHE41,6.35472E-20,0.535160325,0.504,0.17,2.3121E-15,Prefrontal cortex
NEGR1,6.59423E-20,-0.765590901,0.248,0.63,2.39925E-15,Hippocampus
PPP1R18,7.00944E-20,0.23959614,0.154,0.02,2.55031E-15,Prefrontal cortex
SPTLC2,8.12197E-20,-0.527568978,0.607,0.819,2.9551E-15,Hippocampus
SSH1,8.31248E-20,0.431557333,0.393,0.106,3.02441E-15,Prefrontal cortex
LRRC7,1.34734E-19,-0.668365831,0.385,0.717,4.90215E-15,Hippocampus
RNF135,1.35121E-19,0.238687417,0.162,0.023,4.91626E-15,Prefrontal cortex
SLC16A3,1.3801E-19,0.367009358,0.256,0.053,5.02136E-15,Prefrontal cortex
LST1,1.39481E-19,0.289989265,0.188,0.03,5.07487E-15,Prefrontal cortex
LTBR,1.4624E-19,0.202837839,0.145,0.018,5.32078E-15,Prefrontal cortex
RPS2,1.52877E-19,0.408518341,0.299,0.068,5.56229E-15,Prefrontal cortex
YPEL3,1.67004E-19,0.4488286,0.333,0.085,6.07626E-15,Prefrontal cortex
RYR2,1.98517E-19,-0.78725307,0.205,0.608,7.22283E-15,Hippocampus
ALOX5AP,2.08891E-19,0.316875855,0.239,0.046,7.6003E-15,Prefrontal cortex
SLC12A9,2.10183E-19,0.323930012,0.231,0.044,7.64731E-15,Prefrontal cortex
RPL32,2.30869E-19,0.387203134,0.274,0.059,8.39994E-15,Prefrontal cortex
AKAP6,2.40535E-19,-0.535739465,0.538,0.806,8.75161E-15,Hippocampus
ABHD3,2.8016E-19,0.401665607,0.308,0.073,1.01934E-14,Prefrontal cortex
ARHGAP15,3.51417E-19,0.513137898,0.855,0.563,1.2786E-14,Prefrontal cortex
NBPF14,3.58028E-19,0.20793551,0.137,0.016,1.30265E-14,Prefrontal cortex
NAIP,3.7694E-19,0.559799363,0.735,0.366,1.37146E-14,Prefrontal cortex
ERBB4,3.92423E-19,-0.542351671,0.581,0.84,1.42779E-14,Hippocampus
GRIA2,4.06829E-19,-0.784493136,0.205,0.588,1.48021E-14,Hippocampus
CLASP2,5.62124E-19,-0.450788483,0.658,0.871,2.04523E-14,Hippocampus
PPM1E,5.84682E-19,-0.89854399,0.051,0.483,2.12731E-14,Hippocampus
DOCK5,6.78583E-19,-0.441050484,0.684,0.851,2.46896E-14,Hippocampus
ANO6,8.2469E-19,0.409702719,0.333,0.085,3.00055E-14,Prefrontal cortex
EEF1D,8.80919E-19,0.36720845,0.299,0.07,3.20513E-14,Prefrontal cortex
CXCL16,8.92116E-19,0.295736543,0.179,0.029,3.24588E-14,Prefrontal cortex
PAPD4,9.19198E-19,-0.871348714,0,0.429,3.34441E-14,Hippocampus
DOCK3,9.26485E-19,-0.640865152,0.393,0.696,3.37092E-14,Hippocampus
RPS6KA4,9.44246E-19,0.239406797,0.154,0.021,3.43554E-14,Prefrontal cortex
FGF14,1.14716E-18,-0.838455592,0.111,0.544,4.17382E-14,Hippocampus
CCDC88B,1.15097E-18,0.337093533,0.222,0.043,4.18767E-14,Prefrontal cortex
PNPLA6,1.21534E-18,0.302419841,0.205,0.037,4.4219E-14,Prefrontal cortex
SH3BP2,1.36889E-18,0.336335785,0.248,0.051,4.98055E-14,Prefrontal cortex
TMTC2,1.38326E-18,-0.416311356,0.726,0.887,5.03286E-14,Hippocampus
SNTG1,1.41162E-18,-0.861830783,0.06,0.498,5.13605E-14,Hippocampus
TPRG1,1.6363E-18,0.385816217,0.188,0.032,5.95351E-14,Prefrontal cortex
PLEC,1.64044E-18,0.33564063,0.239,0.048,5.96858E-14,Prefrontal cortex
HDAC9,1.88217E-18,0.533856591,0.829,0.562,6.84808E-14,Prefrontal cortex
RPL37A,2.01044E-18,0.351479469,0.256,0.055,7.31478E-14,Prefrontal cortex
LY96,2.83852E-18,0.235341135,0.145,0.02,1.03277E-13,Prefrontal cortex
HSD17B11,2.99831E-18,0.339707314,0.282,0.064,1.09091E-13,Prefrontal cortex
MARCKS,3.0022E-18,0.40255187,0.35,0.094,1.09232E-13,Prefrontal cortex
EFCAB13,3.0506E-18,0.330669094,0.231,0.046,1.10993E-13,Prefrontal cortex
KIFC2,3.06374E-18,0.282132741,0.179,0.029,1.11471E-13,Prefrontal cortex
SLC24A2,3.84218E-18,-0.336598592,0.821,0.935,1.39794E-13,Hippocampus
GRIN1,3.93882E-18,0.383983101,0.282,0.065,1.4331E-13,Prefrontal cortex
45176,4.40825E-18,-0.444828719,0.632,0.822,1.6039E-13,Hippocampus
RPS8,4.43186E-18,0.358101546,0.239,0.05,1.61249E-13,Prefrontal cortex
BIN2,4.54959E-18,0.288693971,0.248,0.051,1.65532E-13,Prefrontal cortex
TLE3,4.65909E-18,0.263991047,0.179,0.029,1.69516E-13,Prefrontal cortex
SGK1,5.16623E-18,-0.446594318,0.658,0.851,1.87968E-13,Hippocampus
MAP7,5.41048E-18,-0.40262089,0.709,0.868,1.96855E-13,Hippocampus
UTRN,5.69334E-18,0.535792982,0.513,0.19,2.07147E-13,Prefrontal cortex
UNC5C,6.16642E-18,-0.454353478,0.684,0.87,2.24359E-13,Hippocampus
PRAM1,6.40235E-18,0.279631476,0.265,0.057,2.32943E-13,Prefrontal cortex
PLEKHA7,6.89239E-18,0.423878275,0.308,0.078,2.50773E-13,Prefrontal cortex
NRXN3,7.10989E-18,-0.486531141,0.65,0.876,2.58686E-13,Hippocampus
ZNF217,8.24819E-18,0.313543325,0.231,0.047,3.00102E-13,Prefrontal cortex
CSK,9.29942E-18,0.247796513,0.179,0.03,3.3835E-13,Prefrontal cortex
PLEK,1.22336E-17,0.266301535,0.231,0.046,4.45108E-13,Prefrontal cortex
RPS6,1.6162E-17,0.31358912,0.231,0.047,5.88037E-13,Prefrontal cortex
KCTD12,2.05011E-17,0.404001271,0.342,0.095,7.45912E-13,Prefrontal cortex
UBXN1,2.09635E-17,0.213177384,0.128,0.016,7.62737E-13,Prefrontal cortex
RPLP0,2.16364E-17,0.280830747,0.248,0.053,7.87219E-13,Prefrontal cortex
MLLT4,2.19119E-17,-0.827633147,0,0.405,7.97243E-13,Hippocampus
RGS7,2.31689E-17,-0.823294675,0.077,0.486,8.42977E-13,Hippocampus
BRE,2.36112E-17,-0.839755076,0,0.405,8.59071E-13,Hippocampus
PARP10,2.37442E-17,0.20027065,0.145,0.02,8.63908E-13,Prefrontal cortex
CD83,2.47366E-17,-0.907389058,0.043,0.444,9.00015E-13,Hippocampus
C4orf48,2.8411E-17,0.226317088,0.137,0.018,1.03371E-12,Prefrontal cortex
DLG1,3.12622E-17,-0.398287515,0.684,0.847,1.13744E-12,Hippocampus
GMFG,3.36122E-17,0.267257798,0.197,0.036,1.22295E-12,Prefrontal cortex
VAV1,3.51398E-17,0.379537174,0.308,0.079,1.27853E-12,Prefrontal cortex
PEX5L,4.51039E-17,-0.425730646,0.701,0.853,1.64106E-12,Hippocampus
PIP4K2A,4.54091E-17,-0.207019068,0.923,0.945,1.65216E-12,Hippocampus
PLCG2,4.73739E-17,0.50345745,0.538,0.204,1.72365E-12,Prefrontal cortex
DHFR,4.74949E-17,0.348338371,0.239,0.052,1.72806E-12,Prefrontal cortex
NELL2,5.13446E-17,-0.827765084,0.017,0.422,1.86812E-12,Hippocampus
CLCN7,5.66786E-17,0.362014288,0.299,0.076,2.06219E-12,Prefrontal cortex
CTSL,5.78392E-17,0.25487893,0.171,0.028,2.10442E-12,Prefrontal cortex
CTNND2,6.5611E-17,-0.536141575,0.521,0.769,2.38719E-12,Hippocampus
TRIM2,6.56513E-17,-0.463078457,0.607,0.809,2.38866E-12,Hippocampus
CSMD3,6.5971E-17,-0.766921761,0.137,0.533,2.40029E-12,Hippocampus
CTTNBP2,7.00604E-17,-0.485597144,0.607,0.794,2.54908E-12,Hippocampus
SLAIN1,7.99148E-17,-0.54408639,0.521,0.807,2.90762E-12,Hippocampus
RACK1,8.13449E-17,0.238863655,0.197,0.036,2.95965E-12,Prefrontal cortex
ITGAM,8.47332E-17,0.341224107,0.265,0.063,3.08293E-12,Prefrontal cortex
ENTPD1,8.53679E-17,0.518400805,0.521,0.194,3.10603E-12,Prefrontal cortex
UGCG,8.64297E-17,0.375402072,0.325,0.089,3.14466E-12,Prefrontal cortex
HCK,9.38658E-17,0.423644093,0.402,0.125,3.41521E-12,Prefrontal cortex
HPGDS,9.43954E-17,0.335634355,0.231,0.05,3.43448E-12,Prefrontal cortex
PTPN2,9.91368E-17,0.464377723,0.487,0.174,3.60699E-12,Prefrontal cortex
CEBPD,1.04778E-16,0.479269231,0.41,0.133,3.81224E-12,Prefrontal cortex
FCGRT,1.10075E-16,0.372654823,0.282,0.071,4.00497E-12,Prefrontal cortex
MGAT4B,1.11941E-16,0.229221488,0.111,0.013,4.07287E-12,Prefrontal cortex
PCDH15,1.20307E-16,-0.807702326,0.043,0.44,4.37726E-12,Hippocampus
HPS3,1.23696E-16,0.364806917,0.308,0.081,4.50056E-12,Prefrontal cortex
LARGE,1.33506E-16,-0.808168603,0,0.391,4.85748E-12,Hippocampus
MBNL1,1.46894E-16,0.412511946,0.88,0.67,5.34458E-12,Prefrontal cortex
LYL1,1.56844E-16,0.268075319,0.145,0.022,5.70659E-12,Prefrontal cortex
RPL4,1.74418E-16,0.300136519,0.231,0.05,6.34602E-12,Prefrontal cortex
IRAK2,1.94824E-16,-0.815173076,0.12,0.489,7.08848E-12,Hippocampus
CDC42SE1,2.26911E-16,0.392837394,0.359,0.104,8.25594E-12,Prefrontal cortex
ST6GALNAC3,2.63789E-16,-0.357438398,0.786,0.932,9.59769E-12,Hippocampus
ST8SIA4,2.88603E-16,0.500420343,0.462,0.17,1.05005E-11,Prefrontal cortex
SLC2A9,2.96154E-16,0.366756387,0.282,0.071,1.07753E-11,Prefrontal cortex
AP1G2,3.129E-16,0.24464523,0.128,0.018,1.13845E-11,Prefrontal cortex
ATG16L2,3.51621E-16,0.346684987,0.291,0.074,1.27934E-11,Prefrontal cortex
PARP14,4.1187E-16,0.456948801,0.359,0.111,1.49855E-11,Prefrontal cortex
NOD1,4.64836E-16,0.200629335,0.145,0.022,1.69126E-11,Prefrontal cortex
KIAA0368,5.84182E-16,-0.777601751,0,0.38,2.12549E-11,Hippocampus
WASHC1,5.92632E-16,0.412583222,0.444,0.147,2.15623E-11,Prefrontal cortex
GRM5,6.01329E-16,-0.782359982,0.034,0.418,2.18788E-11,Hippocampus
HS6ST3,8.31086E-16,-0.783361923,0.051,0.442,3.02382E-11,Hippocampus
OTUD7A,8.53804E-16,-0.499057115,0.521,0.73,3.10648E-11,Hippocampus
PTGS1,8.77011E-16,0.238703485,0.171,0.03,3.19092E-11,Prefrontal cortex
NCAM1,9.53436E-16,-0.352743839,0.718,0.849,3.46898E-11,Hippocampus
ODZ4,9.5993E-16,-0.808308474,0,0.375,3.49261E-11,Hippocampus
XAF1,9.85187E-16,0.320372207,0.265,0.065,3.58451E-11,Prefrontal cortex
SIGLEC9,1.03358E-15,0.210910764,0.171,0.03,3.76059E-11,Prefrontal cortex
FRMD5,1.09782E-15,-0.311940708,0.803,0.901,3.9943E-11,Hippocampus
ZZZ3,1.27282E-15,-0.772328468,0,0.373,4.63103E-11,Hippocampus
CLEC5A,1.29328E-15,0.272205295,0.137,0.021,4.70548E-11,Prefrontal cortex
NUFIP2,1.33963E-15,0.493915662,0.556,0.224,4.8741E-11,Prefrontal cortex
HLA-DPA1,1.43365E-15,0.327075729,0.291,0.075,5.21619E-11,Prefrontal cortex
ZNF536,1.59468E-15,-0.525183996,0.487,0.764,5.8021E-11,Hippocampus
YBX3,1.98757E-15,0.253572161,0.188,0.037,7.23159E-11,Prefrontal cortex
DIP2B,2.45059E-15,-0.278356077,0.812,0.896,8.91622E-11,Hippocampus
SELPLG,2.93739E-15,0.282174138,0.188,0.037,1.06874E-10,Prefrontal cortex
CHST15,3.11965E-15,0.316968908,0.256,0.062,1.13505E-10,Prefrontal cortex
ATP6V0B,3.42965E-15,0.407390879,0.333,0.099,1.24784E-10,Prefrontal cortex
CARD19,3.518E-15,0.231618261,0.162,0.029,1.27999E-10,Prefrontal cortex
ARRB2,3.57438E-15,0.429357268,0.368,0.119,1.3005E-10,Prefrontal cortex
IL17RA,3.8258E-15,0.442182895,0.419,0.143,1.39198E-10,Prefrontal cortex
METTL21A,3.86827E-15,0.279014743,0.222,0.049,1.40743E-10,Prefrontal cortex
NPL,3.97972E-15,0.479345197,0.453,0.167,1.44798E-10,Prefrontal cortex
OGFR,4.09754E-15,0.240245821,0.205,0.043,1.49085E-10,Prefrontal cortex
CEBPB,4.10107E-15,0.359783417,0.325,0.094,1.49213E-10,Prefrontal cortex
SLC12A7,4.18237E-15,0.211152503,0.137,0.021,1.52171E-10,Prefrontal cortex
KIRREL3,4.25817E-15,-0.496399854,0.538,0.762,1.54929E-10,Hippocampus
MEF2A,4.86915E-15,0.297762467,0.94,0.826,1.77159E-10,Prefrontal cortex
PDE3B,5.58675E-15,-0.506454401,0.564,0.765,2.03268E-10,Hippocampus
DPP10,5.69526E-15,-0.694993097,0.205,0.552,2.07216E-10,Hippocampus
C16orf62,6.08554E-15,-0.75364764,0,0.36,2.21416E-10,Hippocampus
SLC39A10,6.78724E-15,0.402477531,0.402,0.132,2.46947E-10,Prefrontal cortex
ADGRG1,6.96219E-15,0.457022595,0.436,0.156,2.53312E-10,Prefrontal cortex
B2M,7.91854E-15,0.506421456,0.453,0.174,2.88108E-10,Prefrontal cortex
TKT,8.00203E-15,0.270292764,0.197,0.041,2.91146E-10,Prefrontal cortex
ARHGAP24,8.12487E-15,0.294570274,0.949,0.834,2.95615E-10,Prefrontal cortex
RPL34,8.28624E-15,0.207146865,0.137,0.021,3.01487E-10,Prefrontal cortex
PLEKHO1,8.92116E-15,0.346771686,0.316,0.09,3.24587E-10,Prefrontal cortex
OOEP,9.37942E-15,0.245982209,0.197,0.04,3.41261E-10,Prefrontal cortex
MAP2,9.444E-15,-0.73224209,0.12,0.476,3.43611E-10,Hippocampus
GPRIN3,1.01765E-14,0.412852343,0.47,0.167,3.70263E-10,Prefrontal cortex
LCP1,1.07351E-14,0.362340415,0.291,0.08,3.90586E-10,Prefrontal cortex
LAPTM4A,1.09067E-14,0.279975941,0.222,0.051,3.96829E-10,Prefrontal cortex
RAB31,1.12557E-14,-0.536545819,0.513,0.698,4.09527E-10,Hippocampus
DLEU7,1.18922E-14,0.326901491,0.256,0.066,4.32687E-10,Prefrontal cortex
PLEKHH1,1.28639E-14,-0.57041428,0.385,0.666,4.68041E-10,Hippocampus
PLSCR1,1.35073E-14,0.421921627,0.368,0.121,4.9145E-10,Prefrontal cortex
DRAM2,1.45367E-14,0.378361656,0.316,0.094,5.28904E-10,Prefrontal cortex
ASAH1,1.66005E-14,0.40143718,0.385,0.125,6.03991E-10,Prefrontal cortex
PYGL,1.85296E-14,0.27010626,0.205,0.045,6.7418E-10,Prefrontal cortex
PTPRE,1.89771E-14,0.511468138,0.632,0.316,6.90462E-10,Prefrontal cortex
ZCCHC11,2.21576E-14,-0.731225498,0,0.349,8.06184E-10,Hippocampus
SLC1A4,2.35388E-14,0.25761151,0.205,0.045,8.56436E-10,Prefrontal cortex
RPL35A,2.48847E-14,0.213799649,0.162,0.03,9.05404E-10,Prefrontal cortex
RPS25,2.65194E-14,0.263485694,0.162,0.03,9.6488E-10,Prefrontal cortex
RHOG,2.6967E-14,0.259001185,0.222,0.051,9.81167E-10,Prefrontal cortex
PKM,2.70265E-14,0.350527618,0.333,0.099,9.83332E-10,Prefrontal cortex
SERPINE1,2.7489E-14,-0.859025155,0.085,0.439,1.00016E-09,Hippocampus
ADRBK2,2.99767E-14,-0.730851721,0,0.347,1.09067E-09,Hippocampus
CLPTM1L,3.11425E-14,0.217916364,0.154,0.027,1.13309E-09,Prefrontal cortex
TUBB,3.32813E-14,0.270119299,0.205,0.046,1.21091E-09,Prefrontal cortex
KIAA1370,3.66387E-14,-0.719382781,0,0.345,1.33306E-09,Hippocampus
DCLK1,3.78168E-14,-0.720729219,0.034,0.381,1.37592E-09,Hippocampus
LDLRAD4,4.98494E-14,-0.214278642,0.915,0.953,1.81372E-09,Hippocampus
GTF3A,5.14152E-14,0.226446216,0.179,0.036,1.87069E-09,Prefrontal cortex
RAPGEF5,5.20323E-14,-0.505521125,0.462,0.68,1.89314E-09,Hippocampus
ADAP1,5.46984E-14,0.272507301,0.154,0.029,1.99015E-09,Prefrontal cortex
PRKCH,6.21031E-14,-0.596056968,0.35,0.647,2.25956E-09,Hippocampus
SERF2,6.52165E-14,0.372351476,0.359,0.113,2.37284E-09,Prefrontal cortex
WASHC4,6.58339E-14,0.452181042,0.556,0.235,2.3953E-09,Prefrontal cortex
